District,Crop,Year,Area,Production,Yield,RH2M,GWETTOP,T2M_MAX,T2M_MIN,GWETROOT,WS2M_MAX,WS2M_MIN,PRECTOTCORR
Jhapa,Paddy,200809,96700,322640,3337,63.25,0.57,39.72,8.6,0.59,8.92,0.01,5.27
Jhapa,Paddy,200910,80000,264000,3300,64.75,0.62,40.72,7.53,0.65,8.17,0.02,5.27
Jhapa,Paddy,201011,82400,271920,3300,67.38,0.62,37.04,6.1,0.64,7.26,0.02,5.27
Jhapa,Paddy,201112,89400,321840,3600,60.69,0.59,41.38,7.32,0.61,7.77,0.01,5.27
Jhapa,Paddy,201213,86700,320790,3700,63.62,0.62,41.28,4.28,0.65,8.8,0.02,5.27
Jhapa,Paddy,201314,88500,365250,4127,62.5,0.59,41.68,7.82,0.62,8.02,0.02,5.27
Jhapa,Millet,197980,990,820,828,65.38,0.61,38.3,8.25,0.62,7.17,0.02,5.27
Jhapa,Millet,198081,950,850,895,62.19,0.59,40.09,7.88,0.6,6.55,0.02,5.27
Jhapa,Millet,198182,950,1140,1200,55.19,0.52,40.82,6.88,0.55,9.45,0.02,5.27
Jhapa,Millet,198283,900,1100,1222,59.56,0.56,41.83,6.31,0.59,8.33,0.05,5.27
Jhapa,Millet,198384,1200,1200,1000,59.25,0.55,40.69,6.08,0.59,7.3,0.02,5.27
Jhapa,Millet,198485,650,590,908,57.75,0.53,42.17,8.08,0.55,8.17,0.01,5.27
Jhapa,Millet,198586,750,710,947,58.94,0.55,40.94,8.42,0.58,7.03,0.03,5.27
Jhapa,Millet,198687,690,620,899,56.44,0.49,40.68,7.62,0.52,7.89,0.03,5.27
Jhapa,Millet,198788,2350,1880,800,53.75,0.48,42.74,6.03,0.53,8.79,0.02,5.27
Jhapa,Millet,198889,1260,1260,1000,57,0.48,40.01,6.62,0.52,6.67,0.02,5.27
Jhapa,Millet,199091,2000,2150,1075,55.44,0.49,42.66,7.95,0.55,7.16,0.01,5.27
Jhapa,Millet,199192,2000,2160,1080,51.62,0.45,42.79,5.94,0.49,10.61,0.02,0
Jhapa,Millet,199293,2010,2190,1090,52.5,0.41,41.38,5.88,0.46,7.72,0.02,0
Jhapa,Millet,199394,2100,2100,1000,49.19,0.4,43.51,7.65,0.46,6.5,0.01,0
Jhapa,Millet,199495,3500,3500,1000,51.5,0.41,42.33,7.01,0.48,8.17,0.02,0
Jhapa,Millet,199596,3000,3000,1000,53.81,0.48,42.01,8.11,0.52,9.19,0.02,5.27
Jhapa,Millet,199697,3000,3000,1000,55.25,0.49,41.07,6.93,0.54,7.48,0.03,5.27
Jhapa,Millet,199798,3510,3510,1000,62.94,0.59,40.35,6.25,0.61,8.54,0.02,5.27
Jhapa,Millet,199899,2800,3000,1071,60.75,0.58,41.28,9.19,0.6,8.55,0.02,5.27
Jhapa,Millet,199900,2000,2000,1000,60,0.51,40.09,7.14,0.52,6.1,0.03,5.27
Jhapa,Millet,200001,1800,1800,1000,60,0.53,40.33,5.2,0.57,6.66,0.04,5.27
Jhapa,Millet,200102,2000,2000,1000,64.38,0.57,40.31,6.69,0.59,6.97,0.02,5.27
Jhapa,Millet,200203,2000,2000,1000,63.88,0.56,39.48,6.07,0.57,7.58,0.02,5.27
Jhapa,Millet,200304,2000,2000,1000,66.44,0.6,40.91,7.29,0.62,7.15,0.02,5.27
Jhapa,Millet,200405,1950,1950,1000,64.06,0.59,40.43,8.62,0.6,8.72,0.02,5.27
Jhapa,Millet,200506,2150,2150,1000,63.75,0.56,39.88,7.82,0.58,8.95,0,5.27
Jhapa,Millet,200607,2200,2340,1064,66,0.6,39.26,6.46,0.62,6.9,0.02,5.27
Jhapa,Millet,200708,2100,2100,1000,66.75,0.6,39.08,7.22,0.61,7.11,0.02,5.27
Jhapa,Millet,200809,2000,2000,1000,63.25,0.57,39.72,8.6,0.59,8.92,0.01,5.27
Jhapa,Millet,200910,1800,2160,1200,64.75,0.62,40.72,7.53,0.65,8.17,0.02,5.27
Jhapa,Millet,201011,1800,2160,1200,67.38,0.62,37.04,6.1,0.64,7.26,0.02,5.27
Jhapa,Millet,201112,1800,2160,1200,60.69,0.59,41.38,7.32,0.61,7.77,0.01,5.27
Jhapa,Millet,201213,1785,1785,1000,63.62,0.62,41.28,4.28,0.65,8.8,0.02,5.27
Jhapa,Millet,201314,1750,1800,1029,62.5,0.59,41.68,7.82,0.62,8.02,0.02,5.27
Jhapa,Barley,197980,50,50,1000,65.38,0.61,38.3,8.25,0.62,7.17,0.02,5.27
Jhapa,Barley,198081,50,40,800,62.19,0.59,40.09,7.88,0.6,6.55,0.02,5.27
Jhapa,Barley,198182,50,40,800,55.19,0.52,40.82,6.88,0.55,9.45,0.02,5.27
Jhapa,Barley,198283,50,60,1200,59.56,0.56,41.83,6.31,0.59,8.33,0.05,5.27
Jhapa,Barley,198384,10,10,1000,59.25,0.55,40.69,6.08,0.59,7.3,0.02,5.27
Jhapa,Barley,198485,10,10,1000,57.75,0.53,42.17,8.08,0.55,8.17,0.01,5.27
Jhapa,Barley,198586,20,10,500,58.94,0.55,40.94,8.42,0.58,7.03,0.03,5.27
Jhapa,Barley,198687,10,10,1000,56.44,0.49,40.68,7.62,0.52,7.89,0.03,5.27
Jhapa,Barley,198788,20,20,1000,53.75,0.48,42.74,6.03,0.53,8.79,0.02,5.27
Jhapa,Barley,198889,20,10,500,57,0.48,40.01,6.62,0.52,6.67,0.02,5.27
Jhapa,Barley,199091,30,20,667,55.44,0.49,42.66,7.95,0.55,7.16,0.01,5.27
Jhapa,Barley,199192,20,20,1000,51.62,0.45,42.79,5.94,0.49,10.61,0.02,0
Jhapa,Barley,199293,20,20,1000,52.5,0.41,41.38,5.88,0.46,7.72,0.02,0
Jhapa,Barley,199394,30,20,667,49.19,0.4,43.51,7.65,0.46,6.5,0.01,0
Jhapa,Barley,199495,30,30,1000,51.5,0.41,42.33,7.01,0.48,8.17,0.02,0
Jhapa,Barley,199596,10,30,3000,53.81,0.48,42.01,8.11,0.52,9.19,0.02,5.27
Jhapa,Barley,199697,10,10,1000,55.25,0.49,41.07,6.93,0.54,7.48,0.03,5.27
Jhapa,Barley,199798,50,10,200,62.94,0.59,40.35,6.25,0.61,8.54,0.02,5.27
Jhapa,Barley,199899,10,60,6000,60.75,0.58,41.28,9.19,0.6,8.55,0.02,5.27
Jhapa,Barley,199900,50,60,1200,60,0.51,40.09,7.14,0.52,6.1,0.03,5.27
Jhapa,Barley,200001,50,60,1200,60,0.53,40.33,5.2,0.57,6.66,0.04,5.27
Jhapa,Barley,200102,50,60,1200,64.38,0.57,40.31,6.69,0.59,6.97,0.02,5.27
Jhapa,Barley,200203,50,60,1200,63.88,0.56,39.48,6.07,0.57,7.58,0.02,5.27
Jhapa,Barley,200304,11,11,1000,66.44,0.6,40.91,7.29,0.62,7.15,0.02,5.27
Jhapa,Barley,200405,10,10,1000,64.06,0.59,40.43,8.62,0.6,8.72,0.02,5.27
Jhapa,Barley,200506,100,110,1100,63.75,0.56,39.88,7.82,0.58,8.95,0,5.27
Jhapa,Barley,200607,11,22,2000,66,0.6,39.26,6.46,0.62,6.9,0.02,5.27
Jhapa,Barley,200708,10,10,1000,66.75,0.6,39.08,7.22,0.61,7.11,0.02,5.27
Jhapa,Barley,200809,10,10,1000,63.25,0.57,39.72,8.6,0.59,8.92,0.01,5.27
Jhapa,Barley,200910,8,6,750,64.75,0.62,40.72,7.53,0.65,8.17,0.02,5.27
Jhapa,Barley,201011,9,7,778,67.38,0.62,37.04,6.1,0.64,7.26,0.02,5.27
Jhapa,Barley,201112,8,6,750,60.69,0.59,41.38,7.32,0.61,7.77,0.01,5.27
Jhapa,Barley,201213,8,6,750,63.62,0.62,41.28,4.28,0.65,8.8,0.02,5.27
Jhapa,Barley,201314,6,6,1000,62.5,0.59,41.68,7.82,0.62,8.02,0.02,5.27
Jhapa,Maize,197980,2980,4170,1399,65.38,0.61,38.3,8.25,0.62,7.17,0.02,5.27
Jhapa,Maize,198081,4500,6750,1500,62.19,0.59,40.09,7.88,0.6,6.55,0.02,5.27
Jhapa,Maize,198182,4550,6820,1499,55.19,0.52,40.82,6.88,0.55,9.45,0.02,5.27
Jhapa,Maize,198283,9530,13090,1374,59.56,0.56,41.83,6.31,0.59,8.33,0.05,5.27
Jhapa,Maize,198384,6790,11730,1728,59.25,0.55,40.69,6.08,0.59,7.3,0.02,5.27
Jhapa,Maize,198485,8510,13680,1608,57.75,0.53,42.17,8.08,0.55,8.17,0.01,5.27
Jhapa,Maize,198586,7200,10360,1439,58.94,0.55,40.94,8.42,0.58,7.03,0.03,5.27
Jhapa,Maize,198687,7300,12600,1726,56.44,0.49,40.68,7.62,0.52,7.89,0.03,5.27
Jhapa,Maize,198788,7620,8790,1154,53.75,0.48,42.74,6.03,0.53,8.79,0.02,5.27
Jhapa,Maize,198889,10820,16000,1479,57,0.48,40.01,6.62,0.52,6.67,0.02,5.27
Jhapa,Maize,199091,10500,13330,1270,55.44,0.49,42.66,7.95,0.55,7.16,0.01,5.27
Jhapa,Maize,199192,10500,13590,1294,51.62,0.45,42.79,5.94,0.49,10.61,0.02,0
Jhapa,Maize,199293,13310,18630,1400,52.5,0.41,41.38,5.88,0.46,7.72,0.02,0
Jhapa,Maize,199394,16000,25600,1600,49.19,0.4,43.51,7.65,0.46,6.5,0.01,0
Jhapa,Maize,199495,16500,28825,1747,51.5,0.41,42.33,7.01,0.48,8.17,0.02,0
Jhapa,Maize,199596,18500,31450,1700,53.81,0.48,42.01,8.11,0.52,9.19,0.02,5.27
Jhapa,Maize,199697,19100,28690,1502,55.25,0.49,41.07,6.93,0.54,7.48,0.03,5.27
Jhapa,Maize,199798,19125,26810,1402,62.94,0.59,40.35,6.25,0.61,8.54,0.02,5.27
Jhapa,Maize,199899,20150,34255,1700,60.75,0.58,41.28,9.19,0.6,8.55,0.02,5.27
Jhapa,Maize,199900,20055,40110,2000,60,0.51,40.09,7.14,0.52,6.1,0.03,5.27
Jhapa,Maize,200001,20100,38190,1900,60,0.53,40.33,5.2,0.57,6.66,0.04,5.27
Jhapa,Maize,200102,21055,42110,2000,64.38,0.57,40.31,6.69,0.59,6.97,0.02,5.27
Jhapa,Maize,200203,21150,42300,2000,63.88,0.56,39.48,6.07,0.57,7.58,0.02,5.27
Jhapa,Maize,200304,21150,42300,2000,66.44,0.6,40.91,7.29,0.62,7.15,0.02,5.27
Jhapa,Maize,200405,22000,44000,2000,64.06,0.59,40.43,8.62,0.6,8.72,0.02,5.27
Jhapa,Maize,200506,22250,47837.5,2150,63.75,0.56,39.88,7.82,0.58,8.95,0,5.27
Jhapa,Maize,200607,21700,54250,2500,66,0.6,39.26,6.46,0.62,6.9,0.02,5.27
Jhapa,Maize,200708,22550,56627,2511,66.75,0.6,39.08,7.22,0.61,7.11,0.02,5.27
Jhapa,Maize,200809,22600,58600,2593,63.25,0.57,39.72,8.6,0.59,8.92,0.01,5.27
Jhapa,Maize,200910,22600,58600,2593,64.75,0.62,40.72,7.53,0.65,8.17,0.02,5.27
Jhapa,Maize,201011,24600,62310,2533,67.38,0.62,37.04,6.1,0.64,7.26,0.02,5.27
Jhapa,Maize,201112,24600,72460,2946,60.69,0.59,41.38,7.32,0.61,7.77,0.01,5.27
Jhapa,Maize,201213,36185,82140,2270,63.62,0.62,41.28,4.28,0.65,8.8,0.02,5.27
Jhapa,Maize,201314,36850,95000,2578,62.5,0.59,41.68,7.82,0.62,8.02,0.02,5.27
Jhapa,Wheat,197980,6000,6600,1100,65.38,0.61,38.3,8.25,0.62,7.17,0.02,5.27
Jhapa,Wheat,198081,5100,6370,1249,62.19,0.59,40.09,7.88,0.6,6.55,0.02,5.27
Jhapa,Wheat,198182,5000,6000,1200,55.19,0.52,40.82,6.88,0.55,9.45,0.02,5.27
Jhapa,Wheat,198283,8220,12330,1500,59.56,0.56,41.83,6.31,0.59,8.33,0.05,5.27
Jhapa,Wheat,198384,8020,12830,1600,59.25,0.55,40.69,6.08,0.59,7.3,0.02,5.27
Jhapa,Wheat,198485,4390,5970,1360,57.75,0.53,42.17,8.08,0.55,8.17,0.01,5.27
Jhapa,Wheat,198586,4000,5600,1400,58.94,0.55,40.94,8.42,0.58,7.03,0.03,5.27
Jhapa,Wheat,198687,5690,10240,1800,56.44,0.49,40.68,7.62,0.52,7.89,0.03,5.27
Jhapa,Wheat,198788,10200,15810,1550,53.75,0.48,42.74,6.03,0.53,8.79,0.02,5.27
Jhapa,Wheat,198889,8250,14230,1725,57,0.48,40.01,6.62,0.52,6.67,0.02,5.27
Jhapa,Wheat,199091,8110,13950,1720,55.44,0.49,42.66,7.95,0.55,7.16,0.01,5.27
Jhapa,Wheat,199192,8500,13380,1574,51.62,0.45,42.79,5.94,0.49,10.61,0.02,0
Jhapa,Wheat,199293,7500,13090,1745,52.5,0.41,41.38,5.88,0.46,7.72,0.02,0
Jhapa,Wheat,199394,12000,11032,919,49.19,0.4,43.51,7.65,0.46,6.5,0.01,0
Jhapa,Wheat,199495,14250,18000,1263,51.5,0.41,42.33,7.01,0.48,8.17,0.02,0
Jhapa,Wheat,199596,15275,24200,1584,53.81,0.48,42.01,8.11,0.52,9.19,0.02,5.27
Jhapa,Wheat,199697,14000,22912,1637,55.25,0.49,41.07,6.93,0.54,7.48,0.03,5.27
Jhapa,Wheat,199798,13275,25200,1898,62.94,0.59,40.35,6.25,0.61,8.54,0.02,5.27
Jhapa,Wheat,199899,9180,21420,2333,60.75,0.58,41.28,9.19,0.6,8.55,0.02,5.27
Jhapa,Wheat,199900,15000,30500,2033,60,0.51,40.09,7.14,0.52,6.1,0.03,5.27
Jhapa,Wheat,200001,12700,28750,2264,60,0.53,40.33,5.2,0.57,6.66,0.04,5.27
Jhapa,Wheat,200102,16500,35650,2161,64.38,0.57,40.31,6.69,0.59,6.97,0.02,5.27
Jhapa,Wheat,200203,16511,35650,2159,63.88,0.56,39.48,6.07,0.57,7.58,0.02,5.27
Jhapa,Wheat,200304,15100,32280,2138,66.44,0.6,40.91,7.29,0.62,7.15,0.02,5.27
Jhapa,Wheat,200405,15500,44950,2900,64.06,0.59,40.43,8.62,0.6,8.72,0.02,5.27
Jhapa,Wheat,200506,15700,39250,2500,63.75,0.56,39.88,7.82,0.58,8.95,0,5.27
Jhapa,Wheat,200607,17000,44200,2600,66,0.6,39.26,6.46,0.62,6.9,0.02,5.27
Jhapa,Wheat,200708,15000,43500,2900,66.75,0.6,39.08,7.22,0.61,7.11,0.02,5.27
Jhapa,Wheat,200809,15000,36500,2433,63.25,0.57,39.72,8.6,0.59,8.92,0.01,5.27
Jhapa,Wheat,200910,14000,14000,1000,64.75,0.62,40.72,7.53,0.65,8.17,0.02,5.27
Jhapa,Wheat,201011,11500,24150,2100,67.38,0.62,37.04,6.1,0.64,7.26,0.02,5.27
Jhapa,Wheat,201112,7500,25150,3353,60.69,0.59,41.38,7.32,0.61,7.77,0.01,5.27
Jhapa,Wheat,201213,6500,21750,3346,63.62,0.62,41.28,4.28,0.65,8.8,0.02,5.27
Jhapa,Wheat,201314,7000,22540,3220,62.5,0.59,41.68,7.82,0.62,8.02,0.02,5.27
Kaski,Paddy,197980,10310,23280,2258,59.38,0.6,36.98,3.71,0.56,6.31,0.04,5.27
Kaski,Paddy,198081,10320,23500,2277,55,0.5,35.91,3.42,0.47,6.01,0.03,0
Kaski,Paddy,198182,19890,41920,2108,49.06,0.4,38.98,2.84,0.42,7.74,0.03,0
Kaski,Paddy,198283,19000,38000,2000,50.88,0.47,38.17,3.18,0.48,6.43,0.02,0
Kaski,Paddy,198384,19000,41710,2195,53,0.46,37.25,4.9,0.47,6.65,0,0
Kaski,Paddy,198485,18580,39000,2099,47.88,0.41,36.37,4.46,0.43,6.48,0.02,0
Kaski,Paddy,198586,18000,36000,2000,48.5,0.44,37.71,4.52,0.45,5.97,0.02,0
Kaski,Paddy,198687,18150,34490,1900,52.75,0.49,38.06,5.67,0.48,5.81,0.02,5.27
Kaski,Paddy,198788,20350,40880,2009,48.25,0.41,38.12,2.28,0.44,7.13,0.03,0
Kaski,Paddy,198889,18590,41010,2206,53.44,0.48,37.65,3.56,0.51,6.42,0.02,0
Kaski,Paddy,199091,18040,41180,2283,47.25,0.38,37.31,3.23,0.41,5.9,0,0
Kaski,Paddy,199192,17300,38630,2233,47.44,0.39,36.87,3.59,0.43,8.16,0.01,0
Kaski,Paddy,199293,17300,38230,2210,46.31,0.38,37.81,2.58,0.41,6.53,0.02,0
Kaski,Paddy,199394,12240,26160,2137,45.31,0.35,38.08,3.93,0.41,6.32,0.02,0
Kaski,Paddy,199495,13280,30361,2286,48.44,0.39,36.89,3.87,0.42,6.91,0.01,0
Kaski,Paddy,199596,15300,35100,2294,49.81,0.42,36.83,4.65,0.43,8.12,0.02,0
Kaski,Paddy,199697,15350,36800,2397,45.44,0.31,36.65,0.29,0.38,6.67,0.02,0
Kaski,Paddy,199798,15350,35100,2287,51.81,0.41,38.25,4.16,0.43,6.89,0.02,0
Kaski,Paddy,199899,15450,37164,2405,45,0.34,37.21,5.07,0.4,6.79,0.03,0
Kaski,Paddy,199900,16533,39845,2410,49.5,0.4,36.5,3.82,0.44,5.91,0.04,0
Kaski,Paddy,200001,18089,39649,2192,49.62,0.39,36.48,2.43,0.43,6.12,0.02,0
Kaski,Paddy,200102,18533,51855,2798,46.69,0.33,37.34,2.87,0.38,6.3,0.01,0
Kaski,Paddy,200203,18590,51680,2780,49.25,0.38,36.66,2.19,0.41,5.7,0.01,0
Kaski,Paddy,200304,18600,51894,2790,58.12,0.54,36.55,3.43,0.52,5.91,0.02,5.27
Kaski,Paddy,200405,18609,51890,2788,57.56,0.57,37.98,4.25,0.57,7,0.01,5.27
Kaski,Paddy,200506,18630,54399.6,2920,60.38,0.58,34.5,4.66,0.53,5.95,0.02,5.27
Kaski,Paddy,200607,19307,45371.45,2350,62.38,0.61,34.9,2.48,0.59,5.22,0.01,5.27
Kaski,Paddy,200708,19310,50815,2632,63.62,0.63,34.67,2.28,0.62,5.41,0.02,5.27
Kaski,Paddy,200809,20100,61990,3084,56.38,0.55,35.14,4.27,0.52,6.72,0.02,5.27
Kaski,Paddy,200910,21000,60850,2898,57.25,0.52,37.01,5.39,0.54,6.17,0.02,5.27
Kaski,Paddy,201011,23000,66700,2900,62.75,0.6,33.64,4.03,0.58,5.49,0.01,5.27
Kaski,Paddy,201112,22500,76850,3416,57.12,0.57,38.28,3.6,0.56,5.98,0.01,5.27
Kaski,Paddy,201213,21500,78256,3640,66,0.67,34.83,-1.22,0.66,6.23,0.03,5.27
Kaski,Paddy,201314,22050,80560,3654,62.62,0.67,35.74,4.59,0.65,6.3,0.04,5.27
Kaski,Millet,197980,7000,6200,886,59.38,0.6,36.98,3.71,0.56,6.31,0.04,5.27
Kaski,Millet,198081,6890,6200,900,55,0.5,35.91,3.42,0.47,6.01,0.03,0
Kaski,Millet,198182,6400,7680,1200,49.06,0.4,38.98,2.84,0.42,7.74,0.03,0
Kaski,Millet,198283,9000,9000,1000,50.88,0.47,38.17,3.18,0.48,6.43,0.02,0
Kaski,Millet,198384,8900,8900,1000,53,0.46,37.25,4.9,0.47,6.65,0,0
Kaski,Millet,198485,9000,8100,900,47.88,0.41,36.37,4.46,0.43,6.48,0.02,0
Kaski,Millet,198586,8000,8000,1000,48.5,0.44,37.71,4.52,0.45,5.97,0.02,0
Kaski,Millet,198687,8350,7900,946,52.75,0.49,38.06,5.67,0.48,5.81,0.02,5.27
Kaski,Millet,198788,9020,8110,899,48.25,0.41,38.12,2.28,0.44,7.13,0.03,0
Kaski,Millet,198889,10370,11410,1100,53.44,0.48,37.65,3.56,0.51,6.42,0.02,0
Kaski,Millet,199091,10100,11450,1134,47.25,0.38,37.31,3.23,0.41,5.9,0,0
Kaski,Millet,199192,10060,11430,1136,47.44,0.39,36.87,3.59,0.43,8.16,0.01,0
Kaski,Millet,199293,10200,12240,1200,46.31,0.38,37.81,2.58,0.41,6.53,0.02,0
Kaski,Millet,199394,8000,9600,1200,45.31,0.35,38.08,3.93,0.41,6.32,0.02,0
Kaski,Millet,199495,10060,11569,1150,48.44,0.39,36.89,3.87,0.42,6.91,0.01,0
Kaski,Millet,199596,10000,11980,1198,49.81,0.42,36.83,4.65,0.43,8.12,0.02,0
Kaski,Millet,199697,10060,12050,1198,45.44,0.31,36.65,0.29,0.38,6.67,0.02,0
Kaski,Millet,199798,10060,12000,1193,51.81,0.41,38.25,4.16,0.43,6.89,0.02,0
Kaski,Millet,199899,10557,13812,1308,45,0.34,37.21,5.07,0.4,6.79,0.03,0
Kaski,Millet,199900,10060,12000,1193,49.5,0.4,36.5,3.82,0.44,5.91,0.04,0
Kaski,Millet,200001,10557,12829,1215,49.62,0.39,36.48,2.43,0.43,6.12,0.02,0
Kaski,Millet,200102,10557,10557,1000,46.69,0.33,37.34,2.87,0.38,6.3,0.01,0
Kaski,Millet,200203,10524,10524,1000,49.25,0.38,36.66,2.19,0.41,5.7,0.01,0
Kaski,Millet,200304,10488,14730,1404,58.12,0.54,36.55,3.43,0.52,5.91,0.02,5.27
Kaski,Millet,200405,10488,14730,1404,57.56,0.57,37.98,4.25,0.57,7,0.01,5.27
Kaski,Millet,200506,11479,15037.49,1310,60.38,0.58,34.5,4.66,0.53,5.95,0.02,5.27
Kaski,Millet,200607,14485,19410,1340,62.38,0.61,34.9,2.48,0.59,5.22,0.01,5.27
Kaski,Millet,200708,14485,19410,1340,63.62,0.63,34.67,2.28,0.62,5.41,0.02,5.27
Kaski,Millet,200809,16101,19410,1206,56.38,0.55,35.14,4.27,0.52,6.72,0.02,5.27
Kaski,Millet,200910,16050,18297,1140,57.25,0.52,37.01,5.39,0.54,6.17,0.02,5.27
Kaski,Millet,201011,16640,17568,1056,62.75,0.6,33.64,4.03,0.58,5.49,0.01,5.27
Kaski,Millet,201112,15110,17700,1171,57.12,0.57,38.28,3.6,0.56,5.98,0.01,5.27
Kaski,Millet,201213,6710,17094,2548,66,0.67,34.83,-1.22,0.66,6.23,0.03,5.27
Kaski,Millet,201314,14767,17278,1170,62.62,0.67,35.74,4.59,0.65,6.3,0.04,5.27
Kaski,Barley,197980,100,100,1000,59.38,0.6,36.98,3.71,0.56,6.31,0.04,5.27
Kaski,Barley,198081,90,80,889,55,0.5,35.91,3.42,0.47,6.01,0.03,0
Kaski,Barley,198182,100,100,1000,49.06,0.4,38.98,2.84,0.42,7.74,0.03,0
Kaski,Barley,198283,100,100,1000,50.88,0.47,38.17,3.18,0.48,6.43,0.02,0
Kaski,Barley,198384,50,50,1000,53,0.46,37.25,4.9,0.47,6.65,0,0
Kaski,Barley,198485,50,40,800,47.88,0.41,36.37,4.46,0.43,6.48,0.02,0
Kaski,Barley,198586,70,50,714,48.5,0.44,37.71,4.52,0.45,5.97,0.02,0
Kaski,Barley,198687,60,60,1000,52.75,0.49,38.06,5.67,0.48,5.81,0.02,5.27
Kaski,Barley,198788,30,30,1000,48.25,0.41,38.12,2.28,0.44,7.13,0.03,0
Kaski,Barley,198889,90,100,1111,53.44,0.48,37.65,3.56,0.51,6.42,0.02,0
Kaski,Barley,199091,100,90,900,47.25,0.38,37.31,3.23,0.41,5.9,0,0
Kaski,Barley,199192,80,90,1125,47.44,0.39,36.87,3.59,0.43,8.16,0.01,0
Kaski,Barley,199293,150,80,533,46.31,0.38,37.81,2.58,0.41,6.53,0.02,0
Kaski,Barley,199394,340,142,418,45.31,0.35,38.08,3.93,0.41,6.32,0.02,0
Kaski,Barley,199495,100,323,3230,48.44,0.39,36.89,3.87,0.42,6.91,0.01,0
Kaski,Barley,199596,100,100,1000,49.81,0.42,36.83,4.65,0.43,8.12,0.02,0
Kaski,Barley,199697,206,100,485,45.44,0.31,36.65,0.29,0.38,6.67,0.02,0
Kaski,Barley,199798,206,206,1000,51.81,0.41,38.25,4.16,0.43,6.89,0.02,0
Kaski,Barley,199899,100,206,2060,45,0.34,37.21,5.07,0.4,6.79,0.03,0
Kaski,Barley,199900,206,206,1000,49.5,0.4,36.5,3.82,0.44,5.91,0.04,0
Kaski,Barley,200001,201,220,1095,49.62,0.39,36.48,2.43,0.43,6.12,0.02,0
Kaski,Barley,200102,201,220,1095,46.69,0.33,37.34,2.87,0.38,6.3,0.01,0
Kaski,Barley,200203,157,173,1102,49.25,0.38,36.66,2.19,0.41,5.7,0.01,0
Kaski,Barley,200304,157,170,1083,58.12,0.54,36.55,3.43,0.52,5.91,0.02,5.27
Kaski,Barley,200405,191,225,1178,57.56,0.57,37.98,4.25,0.57,7,0.01,5.27
