Area,Item,Year,hg/ha_yield,rainfall,pesticides_tonnes,avg_temp_x,avg_temp_y
Nepal,Pears,1999,140488,1500,101.39,14.47,14.47
Nepal,Persimmons,1999,77660,1500,101.39,14.47,14.47
Nepal,"Pigeon peas, dry",1999,8080,1500,101.39,14.47,14.47
Nepal,Pineapples,1999,174000,1500,101.39,14.47,14.47
Nepal,Plums and sloes,1999,91111,1500,101.39,14.47,14.47
Nepal,Potatoes,1999,92599,1500,101.39,14.47,14.47
Nepal,Rice,1999,27028,1500,101.39,14.47,14.47
Nepal,"Seed cotton, unginned",1999,5364,1500,101.39,14.47,14.47
Nepal,Soya beans,1999,7732,1500,101.39,14.47,14.47
Nepal,Sugar cane,1999,365838,1500,101.39,14.47,14.47
Nepal,"Tangerines, mandarins, clementines",1999,58938,1500,101.39,14.47,14.47
Nepal,Tea leaves,1999,25000,1500,101.39,14.47,14.47
Nepal,Unmanufactured tobacco,1999,8844,1500,101.39,14.47,14.47
Nepal,"Walnuts, in shell",1999,38947,1500,101.39,14.47,14.47
Nepal,Wheat,1999,16955,1500,101.39,14.47,14.47
Nepal,"Almonds, in shell",2000,10000,1500,111.72,13.99,13.99
Nepal,Apples,2000,111857,1500,111.72,13.99,13.99
Nepal,Apricots,2000,61233,1500,111.72,13.99,13.99
Nepal,Areca nuts,2000,18857,1500,111.72,13.99,13.99
Nepal,Bananas,2000,164103,1500,111.72,13.99,13.99
Nepal,Barley,2000,10930,1500,111.72,13.99,13.99
Nepal,"Beans, dry",2000,7164,1500,111.72,13.99,13.99
Nepal,"Broad beans and horse beans, dry",2000,6229,1500,111.72,13.99,13.99
Nepal,Cabbages,2000,220000,1500,111.72,13.99,13.99
Nepal,"Chick peas, dry",2000,8237,1500,111.72,13.99,13.99
Nepal,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2000,6423,1500,111.72,13.99,13.99
Nepal,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2000,20000,1500,111.72,13.99,13.99
Nepal,"Coconuts, in shell",2000,20437,1500,111.72,13.99,13.99
Nepal,"Coffee, green",2000,2293,1500,111.72,13.99,13.99
Nepal,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",2000,50048,1500,111.72,13.99,13.99
Nepal,"Ginger, raw",2000,90202,1500,111.72,13.99,13.99
Nepal,Green garlic,2000,50000,1500,111.72,13.99,13.99
Nepal,"Jute, raw or retted",2000,10440,1500,111.72,13.99,13.99
Nepal,Lemons and limes,2000,55385,1500,111.72,13.99,13.99
Nepal,"Lentils, dry",2000,7599,1500,111.72,13.99,13.99
Nepal,Linseed,2000,4700,1500,111.72,13.99,13.99
Nepal,Maize (corn),2000,17275,1500,111.72,13.99,13.99
Nepal,"Mangoes, guavas and mangosteens",2000,81507,1500,111.72,13.99,13.99
Nepal,Millet,2000,10246,1500,111.72,13.99,13.99
Nepal,Mustard seed,2000,6473,1500,111.72,13.99,13.99
Nepal,"Nutmeg, mace, cardamoms, raw",2000,3603,1500,111.72,13.99,13.99
Nepal,Oranges,2000,142857,1500,111.72,13.99,13.99
Nepal,"Other citrus fruit, n.e.c.",2000,74583,1500,111.72,13.99,13.99
Nepal,"Other fruits, n.e.c.",2000,96217,1500,111.72,13.99,13.99
Nepal,Other pulses n.e.c.,2000,7521,1500,111.72,13.99,13.99
Nepal,"Other stimulant, spice and aromatic crops, n.e.c.",2000,70606,1500,111.72,13.99,13.99
Nepal,"Other vegetables, fresh n.e.c.",2000,99957,1500,111.72,13.99,13.99
Nepal,Papayas,2000,164516,1500,111.72,13.99,13.99
Nepal,Peaches and nectarines,2000,82143,1500,111.72,13.99,13.99
Nepal,Pears,2000,134286,1500,111.72,13.99,13.99
Nepal,Persimmons,2000,78261,1500,111.72,13.99,13.99
Nepal,"Pigeon peas, dry",2000,9894,1500,111.72,13.99,13.99
Nepal,Pineapples,2000,165049,1500,111.72,13.99,13.99
Nepal,Plums and sloes,2000,87097,1500,111.72,13.99,13.99
Nepal,Potatoes,2000,96436,1500,111.72,13.99,13.99
Nepal,Rice,2000,27454,1500,111.72,13.99,13.99
Nepal,"Seed cotton, unginned",2000,6054,1500,111.72,13.99,13.99
Nepal,Soya beans,2000,8492,1500,111.72,13.99,13.99
Nepal,Sugar cane,2000,361874,1500,111.72,13.99,13.99
Nepal,"Tangerines, mandarins, clementines",2000,60773,1500,111.72,13.99,13.99
Nepal,Tea leaves,2000,25287,1500,111.72,13.99,13.99
Nepal,Unmanufactured tobacco,2000,8893,1500,111.72,13.99,13.99
Nepal,"Walnuts, in shell",2000,38776,1500,111.72,13.99,13.99
Nepal,Wheat,2000,17931,1500,111.72,13.99,13.99
Nepal,"Almonds, in shell",2001,10000,1500,122.04,14.31,14.31
Nepal,Apples,2001,110765,1500,122.04,14.31,14.31
Nepal,Apricots,2001,67639,1500,122.04,14.31,14.31
Nepal,Areca nuts,2001,18889,1500,122.04,14.31,14.31
Nepal,Bananas,2001,167931,1500,122.04,14.31,14.31
Nepal,Barley,2001,10814,1500,122.04,14.31,14.31
Nepal,"Beans, dry",2001,7140,1500,122.04,14.31,14.31
Nepal,"Broad beans and horse beans, dry",2001,6205,1500,122.04,14.31,14.31
Nepal,Cabbages,2001,220000,1500,122.04,14.31,14.31
Nepal,"Chick peas, dry",2001,8326,1500,122.04,14.31,14.31
Nepal,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2001,8059,1500,122.04,14.31,14.31
Nepal,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2001,21340,1500,122.04,14.31,14.31
Nepal,"Coconuts, in shell",2001,20292,1500,122.04,14.31,14.31
Nepal,"Coffee, green",2001,2099,1500,122.04,14.31,14.31
Nepal,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",2001,50000,1500,122.04,14.31,14.31
Nepal,"Ginger, raw",2001,94201,1500,122.04,14.31,14.31
Nepal,Green garlic,2001,51327,1500,122.04,14.31,14.31
Nepal,"Jute, raw or retted",2001,14520,1500,122.04,14.31,14.31
Nepal,Lemons and limes,2001,81250,1500,122.04,14.31,14.31
Nepal,"Lentils, dry",2001,8007,1500,122.04,14.31,14.31
Nepal,Linseed,2001,4667,1500,122.04,14.31,14.31
Nepal,Maize (corn),2001,18000,1500,122.04,14.31,14.31
Nepal,"Mangoes, guavas and mangosteens",2001,85526,1500,122.04,14.31,14.31
Nepal,Millet,2001,10884,1500,122.04,14.31,14.31
Nepal,Mustard seed,2001,7022,1500,122.04,14.31,14.31
Nepal,"Nutmeg, mace, cardamoms, raw",2001,5699,1500,122.04,14.31,14.31
Nepal,Oranges,2001,147907,1500,122.04,14.31,14.31
Nepal,"Other citrus fruit, n.e.c.",2001,87155,1500,122.04,14.31,14.31
Nepal,"Other fruits, n.e.c.",2001,101176,1500,122.04,14.31,14.31
Nepal,Other pulses n.e.c.,2001,7725,1500,122.04,14.31,14.31
Nepal,"Other stimulant, spice and aromatic crops, n.e.c.",2001,69775,1500,122.04,14.31,14.31
Nepal,"Other vegetables, fresh n.e.c.",2001,105208,1500,122.04,14.31,14.31
Nepal,Papayas,2001,175000,1500,122.04,14.31,14.31
Nepal,Peaches and nectarines,2001,86207,1500,122.04,14.31,14.31
Nepal,Pears,2001,142791,1500,122.04,14.31,14.31
Nepal,Persimmons,2001,81250,1500,122.04,14.31,14.31
Nepal,"Pigeon peas, dry",2001,8711,1500,122.04,14.31,14.31
Nepal,Pineapples,2001,175472,1500,122.04,14.31,14.31
Nepal,Plums and sloes,2001,90722,1500,122.04,14.31,14.31
Nepal,Potatoes,2001,101824,1500,122.04,14.31,14.31
Nepal,Rice,2001,26754,1500,122.04,14.31,14.31
Nepal,"Seed cotton, unginned",2001,4044,1500,122.04,14.31,14.31
Nepal,Soya beans,2001,8430,1500,122.04,14.31,14.31
Nepal,Sugar cane,2001,372216,1500,122.04,14.31,14.31
Nepal,"Tangerines, mandarins, clementines",2001,74357,1500,122.04,14.31,14.31
Nepal,Tea leaves,2001,24173,1500,122.04,14.31,14.31
Nepal,Unmanufactured tobacco,2001,9401,1500,122.04,14.31,14.31
Nepal,"Walnuts, in shell",2001,39000,1500,122.04,14.31,14.31
Nepal,Wheat,2001,18063,1500,122.04,14.31,14.31
Nepal,"Almonds, in shell",2002,10000,1500,132.36,14.28,14.28
Nepal,Apples,2002,95329,1500,132.36,14.28,14.28
Nepal,Apricots,2002,64795,1500,132.36,14.28,14.28
Nepal,Areca nuts,2002,18919,1500,132.36,14.28,14.28
Nepal,Bananas,2002,160678,1500,132.36,14.28,14.28
Nepal,Barley,2002,11107,1500,132.36,14.28,14.28
Nepal,"Beans, dry",2002,7313,1500,132.36,14.28,14.28
Nepal,"Broad beans and horse beans, dry",2002,7001,1500,132.36,14.28,14.28
Nepal,Buckwheat,2002,5607,1500,132.36,14.28,14.28
Nepal,Cabbages,2002,220000,1500,132.36,14.28,14.28
Nepal,"Chick peas, dry",2002,8366,1500,132.36,14.28,14.28
Nepal,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2002,6778,1500,132.36,14.28,14.28
Nepal,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2002,21299,1500,132.36,14.28,14.28
Nepal,"Coconuts, in shell",2002,20292,1500,132.36,14.28,14.28
Nepal,"Coffee, green",2002,2332,1500,132.36,14.28,14.28
Nepal,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",2002,50000,1500,132.36,14.28,14.28
Nepal,"Ginger, raw",2002,95668,1500,132.36,14.28,14.28
Nepal,Green garlic,2002,52201,1500,132.36,14.28,14.28
Nepal,"Jute, raw or retted",2002,14494,1500,132.36,14.28,14.28
Nepal,Lemons and limes,2002,72000,1500,132.36,14.28,14.28
Nepal,"Lentils, dry",2002,8234,1500,132.36,14.28,14.28
Nepal,Linseed,2002,4724,1500,132.36,14.28,14.28
Nepal,Maize (corn),2002,18291,1500,132.36,14.28,14.28
Nepal,"Mangoes, guavas and mangosteens",2002,80573,1500,132.36,14.28,14.28
Nepal,Millet,2002,10947,1500,132.36,14.28,14.28
Nepal,Mustard seed,2002,7185,1500,132.36,14.28,14.28
Nepal,"Nutmeg, mace, cardamoms, raw",2002,5700,1500,132.36,14.28,14.28
Nepal,Oranges,2002,144444,1500,132.36,14.28,14.28
Nepal,"Other citrus fruit, n.e.c.",2002,116935,1500,132.36,14.28,14.28
Nepal,"Other fruits, n.e.c.",2002,95000,1500,132.36,14.28,14.28
Nepal,Other pulses n.e.c.,2002,7872,1500,132.36,14.28,14.28
Nepal,"Other stimulant, spice and aromatic crops, n.e.c.",2002,72499,1500,132.36,14.28,14.28
Nepal,"Other vegetables, fresh n.e.c.",2002,107923,1500,132.36,14.28,14.28
Nepal,Papayas,2002,163636,1500,132.36,14.28,14.28
Nepal,Peaches and nectarines,2002,82000,1500,132.36,14.28,14.28
Nepal,Pears,2002,133333,1500,132.36,14.28,14.28
Nepal,Persimmons,2002,83673,1500,132.36,14.28,14.28
Nepal,"Pigeon peas, dry",2002,8929,1500,132.36,14.28,14.28
Nepal,Pineapples,2002,163636,1500,132.36,14.28,14.28
Nepal,Plums and sloes,2002,85000,1500,132.36,14.28,14.28
Nepal,Potatoes,2002,109018,1500,132.36,14.28,14.28
Nepal,Rice,2002,26753,1500,132.36,14.28,14.28
Nepal,"Seed cotton, unginned",2002,14706,1500,132.36,14.28,14.28
Nepal,Soya beans,2002,8595,1500,132.36,14.28,14.28
Nepal,Sugar cane,2002,377960,1500,132.36,14.28,14.28
Nepal,"Tangerines, mandarins, clementines",2002,62698,1500,132.36,14.28,14.28
Nepal,Tea leaves,2002,26688,1500,132.36,14.28,14.28
Nepal,Unmanufactured tobacco,2002,9869,1500,132.36,14.28,14.28
Nepal,"Walnuts, in shell",2002,38095,1500,132.36,14.28,14.28
Nepal,Wheat,2002,18859,1500,132.36,14.28,14.28
Nepal,"Almonds, in shell",2003,10000,1500,142.68,14.2,14.2
Nepal,Apples,2003,95575,1500,142.68,14.2,14.2
Nepal,Apricots,2003,66410,1500,142.68,14.2,14.2
Nepal,Areca nuts,2003,18947,1500,142.68,14.2,14.2
Nepal,Bananas,2003,167742,1500,142.68,14.2,14.2
Nepal,Barley,2003,11508,1500,142.68,14.2,14.2
Nepal,"Beans, dry",2003,7802,1500,142.68,14.2,14.2
Nepal,"Broad beans and horse beans, dry",2003,7111,1500,142.68,14.2,14.2
Nepal,Buckwheat,2003,6103,1500,142.68,14.2,14.2
Nepal,Cabbages,2003,220000,1500,142.68,14.2,14.2
Nepal,"Chick peas, dry",2003,7860,1500,142.68,14.2,14.2
Nepal,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2003,8000,1500,142.68,14.2,14.2
Nepal,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2003,32500,1500,142.68,14.2,14.2
Nepal,"Coconuts, in shell",2003,20349,1500,142.68,14.2,14.2
Nepal,"Coffee, green",2003,2461,1500,142.68,14.2,14.2
Nepal,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",2003,50000,1500,142.68,14.2,14.2
Nepal,"Ginger, raw",2003,127298,1500,142.68,14.2,14.2
Nepal,Green garlic,2003,58998,1500,142.68,14.2,14.2
Nepal,"Jute, raw or retted",2003,14375,1500,142.68,14.2,14.2
Nepal,Lemons and limes,2003,76471,1500,142.68,14.2,14.2
Nepal,"Lentils, dry",2003,8182,1500,142.68,14.2,14.2
Nepal,Lettuce and chicory,2003,57143,1500,142.68,14.2,14.2
Nepal,Linseed,2003,4848,1500,142.68,14.2,14.2
Nepal,Maize (corn),2003,18765,1500,142.68,14.2,14.2
Nepal,"Mangoes, guavas and mangosteens",2003,86025,1500,142.68,14.2,14.2
Nepal,Millet,2003,10916,1500,142.68,14.2,14.2
Nepal,Mustard seed,2003,6691,1500,142.68,14.2,14.2
Nepal,"Nutmeg, mace, cardamoms, raw",2003,5727,1500,142.68,14.2,14.2
Nepal,Oranges,2003,145652,1500,142.68,14.2,14.2
Nepal,"Other citrus fruit, n.e.c.",2003,86614,1500,142.68,14.2,14.2
Nepal,"Other fruits, n.e.c.",2003,99969,1500,142.68,14.2,14.2
Nepal,Other pulses n.e.c.,2003,7843,1500,142.68,14.2,14.2
Nepal,"Other stimulant, spice and aromatic crops, n.e.c.",2003,70455,1500,142.68,14.2,14.2
Nepal,"Other vegetables, fresh n.e.c.",2003,108440,1500,142.68,14.2,14.2
Nepal,Papayas,2003,173529,1500,142.68,14.2,14.2
Nepal,Peaches and nectarines,2003,68627,1500,142.68,14.2,14.2
Nepal,Pears,2003,130000,1500,142.68,14.2,14.2
Nepal,Persimmons,2003,81373,1500,142.68,14.2,14.2
Nepal,"Pigeon peas, dry",2003,9038,1500,142.68,14.2,14.2
Nepal,Pineapples,2003,178571,1500,142.68,14.2,14.2
Nepal,Plums and sloes,2003,92157,1500,142.68,14.2,14.2
Nepal,Potatoes,2003,109246,1500,142.68,14.2,14.2
Nepal,Rice,2003,28573,1500,142.68,14.2,14.2
Nepal,"Seed cotton, unginned",2003,5169,1500,142.68,14.2,14.2
Nepal,Soya beans,2003,8709,1500,142.68,14.2,14.2
Nepal,Sugar cane,2003,387762,1500,142.68,14.2,14.2
Nepal,"Tangerines, mandarins, clementines",2003,82524,1500,142.68,14.2,14.2
Nepal,Tea leaves,2003,28474,1500,142.68,14.2,14.2
Nepal,Unmanufactured tobacco,2003,9619,1500,142.68,14.2,14.2
Nepal,"Walnuts, in shell",2003,39204,1500,142.68,14.2,14.2
Nepal,Wheat,2003,20092,1500,142.68,14.2,14.2
Nepal,"Almonds, in shell",2004,10000,1500,153.0,14.4,14.4
Nepal,Apples,2004,95660,1500,153.0,14.4,14.4
Nepal,Apricots,2004,67500,1500,153.0,14.4,14.4
Nepal,Areca nuts,2004,19088,1500,153.0,14.4,14.4
Nepal,Bananas,2004,142264,1500,153.0,14.4,14.4
Nepal,Barley,2004,11166,1500,153.0,14.4,14.4
Nepal,"Beans, dry",2004,7931,1500,153.0,14.4,14.4
Nepal,"Broad beans and horse beans, dry",2004,7142,1500,153.0,14.4,14.4
Nepal,Buckwheat,2004,6573,1500,153.0,14.4,14.4
Nepal,Cabbages,2004,220588,1500,153.0,14.4,14.4
Nepal,"Chick peas, dry",2004,8487,1500,153.0,14.4,14.4
Nepal,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2004,8011,1500,153.0,14.4,14.4
Nepal,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2004,34514,1500,153.0,14.4,14.4
Nepal,"Coconuts, in shell",2004,20347,1500,153.0,14.4,14.4
Nepal,"Coffee, green",2004,2357,1500,153.0,14.4,14.4
Nepal,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",2004,50000,1500,153.0,14.4,14.4
Nepal,"Ginger, raw",2004,128000,1500,153.0,14.4,14.4
Nepal,Green garlic,2004,69236,1500,153.0,14.4,14.4
Nepal,"Jute, raw or retted",2004,14326,1500,153.0,14.4,14.4
Nepal,Lemons and limes,2004,78895,1500,153.0,14.4,14.4
Nepal,"Lentils, dry",2004,8468,1500,153.0,14.4,14.4
Nepal,Lettuce and chicory,2004,57143,1500,153.0,14.4,14.4
Nepal,Linseed,2004,4692,1500,153.0,14.4,14.4
Nepal,Maize (corn),2004,19059,1500,153.0,14.4,14.4
Nepal,"Mangoes, guavas and mangosteens",2004,82137,1500,153.0,14.4,14.4
Nepal,Millet,2004,10958,1500,153.0,14.4,14.4
Nepal,Mustard seed,2004,7115,1500,153.0,14.4,14.4
Nepal,"Nutmeg, mace, cardamoms, raw",2004,5587,1500,153.0,14.4,14.4
Nepal,Oranges,2004,118351,1500,153.0,14.4,14.4
Nepal,"Other citrus fruit, n.e.c.",2004,79084,1500,153.0,14.4,14.4
Nepal,"Other fruits, n.e.c.",2004,94507,1500,153.0,14.4,14.4
Nepal,Other pulses n.e.c.,2004,8495,1500,153.0,14.4,14.4
Nepal,"Other stimulant, spice and aromatic crops, n.e.c.",2004,70629,1500,153.0,14.4,14.4
Nepal,"Other vegetables, fresh n.e.c.",2004,109516,1500,153.0,14.4,14.4
Nepal,Papayas,2004,140878,1500,153.0,14.4,14.4
Nepal,Peaches and nectarines,2004,68950,1500,153.0,14.4,14.4
Nepal,Pears,2004,116458,1500,153.0,14.4,14.4
Nepal,Persimmons,2004,67143,1500,153.0,14.4,14.4
Nepal,"Pigeon peas, dry",2004,8668,1500,153.0,14.4,14.4
Nepal,Pineapples,2004,142368,1500,153.0,14.4,14.4
Nepal,Plums and sloes,2004,70240,1500,153.0,14.4,14.4
Nepal,Potatoes,2004,114898,1500,153.0,14.4,14.4
Nepal,Rice,2004,27825,1500,153.0,14.4,14.4
Nepal,"Seed cotton, unginned",2004,8125,1500,153.0,14.4,14.4
Nepal,Soya beans,2004,8772,1500,153.0,14.4,14.4
Nepal,Sugar cane,2004,387939,1500,153.0,14.4,14.4
Nepal,"Tangerines, mandarins, clementines",2004,111827,1500,153.0,14.4,14.4
Nepal,Tea leaves,2004,33973,1500,153.0,14.4,14.4
Nepal,Unmanufactured tobacco,2004,9741,1500,153.0,14.4,14.4
Nepal,"Walnuts, in shell",2004,38799,1500,153.0,14.4,14.4
Nepal,Wheat,2004,20873,1500,153.0,14.4,14.4
Nepal,"Almonds, in shell",2005,10000,1500,127.99,14.26,14.26
Nepal,Apples,2005,95984,1500,127.99,14.26,14.26
Nepal,Apricots,2005,67500,1500,127.99,14.26,14.26
Nepal,Areca nuts,2005,19090,1500,127.99,14.26,14.26
Nepal,Bananas,2005,142239,1500,127.99,14.26,14.26
Nepal,Barley,2005,11102,1500,127.99,14.26,14.26
Nepal,"Beans, dry",2005,8642,1500,127.99,14.26,14.26
Nepal,"Broad beans and horse beans, dry",2005,7249,1500,127.99,14.26,14.26
Nepal,Buckwheat,2005,6698,1500,127.99,14.26,14.26
Nepal,Cabbages,2005,220588,1500,127.99,14.26,14.26
Nepal,"Chick peas, dry",2005,8869,1500,127.99,14.26,14.26
Nepal,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2005,8006,1500,127.99,14.26,14.26
Nepal,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2005,32000,1500,127.99,14.26,14.26
Nepal,"Coconuts, in shell",2005,20462,1500,127.99,14.26,14.26
Nepal,"Coffee, green",2005,2319,1500,127.99,14.26,14.26
Nepal,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",2005,50000,1500,127.99,14.26,14.26
Nepal,"Ginger, raw",2005,128500,1500,127.99,14.26,14.26
Nepal,Green garlic,2005,69200,1500,127.99,14.26,14.26
Nepal,"Jute, raw or retted",2005,14500,1500,127.99,14.26,14.26
Nepal,Lemons and limes,2005,79757,1500,127.99,14.26,14.26
Nepal,"Lentils, dry",2005,8508,1500,127.99,14.26,14.26
Nepal,Lettuce and chicory,2005,59524,1500,127.99,14.26,14.26
Nepal,Linseed,2005,4944,1500,127.99,14.26,14.26
Nepal,Maize (corn),2005,20191,1500,127.99,14.26,14.26
Nepal,"Mangoes, guavas and mangosteens",2005,76556,1500,127.99,14.26,14.26
Nepal,Millet,2005,11198,1500,127.99,14.26,14.26
Nepal,Mustard seed,2005,7560,1500,127.99,14.26,14.26
Nepal,"Nutmeg, mace, cardamoms, raw",2005,5913,1500,127.99,14.26,14.26
Nepal,Oranges,2005,119441,1500,127.99,14.26,14.26
Nepal,"Other citrus fruit, n.e.c.",2005,80000,1500,127.99,14.26,14.26
Nepal,"Other fruits, n.e.c.",2005,99891,1500,127.99,14.26,14.26
Nepal,Other pulses n.e.c.,2005,8652,1500,127.99,14.26,14.26
